symbol,exchange,type,organ_short_name,organ_name,product_grp_id,icb_code
AAA,HSX,STOCK,An Phát Bioplastics,Công ty Cổ phần Nhựa An Phát Xanh,STO,1353
AAM,HSX,STOCK,Thủy sản Mekong,Công ty Cổ Phần Thủy Sản MeKong,STO,3573
AAT,HSX,STOCK,Tập đoàn Tiên Sơn Thanh Hóa,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,STO,3763
ABR,HSX,STOCK,Đầu tư Nhãn Hiệu Việt,Công ty Cổ phần Đầu tư Nhãn Hiệu Việt,STO,2791
ABS,HSX,STOCK,DV Nông nghiệp Bình Thuận,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,STO,1357
ABT,HSX,STOCK,Thủy sản Bến Tre,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre,STO,3573
ACB,HSX,STOCK,ACB,Ngân hàng Thương mại Cổ phần Á Châu,STO,8355
ACC,HSX,STOCK,Đầu tư và XD Bình Dương ACC,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,STO,2353
ACG,HSX,STOCK,Gỗ An Cường,Công ty Cổ phần Gỗ An Cường,STO,1733
ACL,HSX,STOCK,Thủy sản CL An Giang,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,STO,3573
ADG,HSX,STOCK,Clever Group,Công ty Cổ phần Clever Group,STO,5555
ADP,HSX,STOCK,Sơn Á Đông,Công ty Cổ phần Sơn Á Đông,STO,2353
ADS,HSX,STOCK,Dệt sợi DAMSAN,Công ty Cổ phần DAMSAN,STO,3763
AGG,HSX,STOCK,Bất động sản An Gia,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,STO,8633
AGR,HSX,STOCK,Agriseco,Công ty Cổ phần Chứng khoán AGRIBANK,STO,8777
ANV,HSX,STOCK,Thủy sản Nam Việt,Công ty Cổ phần Nam Việt,STO,3573
APG,HSX,STOCK,Chứng khoán APG,Công ty Cổ phần Chứng khoán APG,STO,8777
APH,HSX,STOCK,Tập đoàn An Phát Holdings,Công ty Cổ phần Tập đoàn An Phát Holdings,STO,2723
ASG,HSX,STOCK,Tập đoàn ASG,Công ty Cổ phần Tập đoàn ASG,STO,2777
ASM,HSX,STOCK,Tập đoàn Sao Mai,Công ty Cổ phần Tập đoàn Sao Mai,STO,3573
ASP,HSX,STOCK,Dầu khí An Pha,Công ty Cổ phần Tập đoàn Dầu khí An Pha,STO,7573
AST,HSX,STOCK,Dịch vụ Hàng không Taseco,Công ty Cổ phần Dịch vụ Hàng không Taseco,STO,5379
BAF,HSX,STOCK,Nông nghiệp BAF Việt Nam,Công ty Cổ phần Nông nghiệp BAF Việt Nam,STO,3573
BBC,HSX,STOCK,Bánh kẹo BIBICA,Công ty Cổ phần Bibica,STO,3577
BCE,HSX,STOCK,XD và GT Bình Dương,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,STO,2357
BCG,HSX,STOCK,Bamboo Capital,Công ty Cổ phần Tập đoàn Bamboo Capital,STO,8775
BCM,HSX,STOCK,Becamex Group,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,STO,8633
BFC,HSX,STOCK,Phân bón Bình Điền,Công ty Cổ phần Phân bón Bình Điền,STO,1357
BHN,HSX,STOCK,HABECO,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,STO,3533
BIC,HSX,STOCK,Bảo hiểm BIDV,Tổng Công ty Cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,STO,8536
BID,HSX,STOCK,BIDV,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,STO,8355
BKG,HSX,STOCK,Đầu tư BKG Việt Nam,Công ty Cổ phần Đầu tư BKG Việt Nam,STO,3726
BMC,HSX,STOCK,Khoáng sản Bình Định,Công ty Cổ phần Khoáng sản Bình Định,STO,1775
BMI,HSX,STOCK,Bảo hiểm Bảo Minh,Tổng Công ty Cổ phần Bảo Minh,STO,8536
BMP,HSX,STOCK,Nhựa Bình Minh,Công ty Cổ phần Nhựa Bình Minh,STO,2353
BRC,HSX,STOCK,Cao su Bến Thành,Công ty Cổ phần Cao su Bến Thành,STO,1353
BSI,HSX,STOCK,Chứng khoán BIDV,Công ty Cổ phần Chứng khoán BIDV,STO,8777
BSR,HSX,STOCK,Lọc Hóa dầu Bình Sơn,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,STO,0533
BTP,HSX,STOCK,Nhiệt điện Bà Rịa,Công ty Cổ phần Nhiệt điện Bà Rịa,STO,7535
BTT,HSX,STOCK,TM - DV Bến Thành,Công ty Cổ phần Thương mại - Dịch vụ Bến Thành,STO,5373
BVH,HSX,STOCK,Tập đoàn Bảo Việt,Tập đoàn Bảo Việt,STO,8575
BWE,HSX,STOCK,Nước - Môi trường Bình Dương,Công ty Cổ phần - Tổng công ty Nước - Môi trường Bình Dương,STO,7577
C32,HSX,STOCK,Đầu tư và Xây dựng 3-2,Công ty Cổ phần Đầu tư và Xây dựng 3-2,STO,2353
C47,HSX,STOCK,Xây dựng 47,Công ty Cổ phần Xây dựng 47,STO,2357
CACB2502,HSX,CW,Chứng quyền ACB/15M/SSI/C/EU/Cash-18,Chứng quyền ACB/15M/SSI/C/EU/Cash-18,STO,
CACB2503,HSX,CW,CACB2503 - Chứng quyền,CACB2503 - Chứng quyền,STO,
CACB2508,HSX,CW,Chứng quyền ACB/7M/SSI/C/EU/Cash-19,Chứng quyền ACB/7M/SSI/C/EU/Cash-19,STO,
CACB2509,HSX,CW,Chứng quyền ACB/VPBANKS/C/EU/7M/CASH/25-01,Chứng quyền ACB/VPBANKS/C/EU/7M/CASH/25-01,STO,
CACB2510,HSX,CW,Chứng quyền ACB/12M/SSI/C/EU/Cash-20,Chứng quyền ACB/12M/SSI/C/EU/Cash-20,STO,
