icb_code,icb_name,level,en_icb_name
0001,Dầu khí,1,Oil & Gas
0500,Dầu khí,2,Oil & Gas
0530,Sản xuất Dầu khí,3,Oil & Gas Producers
0533,Sản xuất và Khai thác dầu khí,4,Exploration & Production
0570,"Thiết bị, Dịch vụ và Phân phối Dầu khí",3,"Oil Equipment, Services & Distribution"
0573,Thiết bị và Dịch vụ Dầu khí,4,Oil Equipment & Services
1000,Nguyên vật liệu,1,Basic Materials
1300,Hóa chất,2,Chemicals
1350,Hóa chất,3,Chemicals
1353,"Nhựa, cao su & sợi",4,Commodity Chemicals
1357,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",4,Specialty Chemicals
1700,Tài nguyên Cơ bản,2,Basic Resources
1730,Lâm nghiệp và Giấy,3,Forestry & Paper
1733,Lâm sản và Chế biến gỗ,4,Forestry
1737,Sản xuất giấy,4,Paper
1750,Kim loại,3,Industrial Metals & Mining
1753,Nhôm,4,Aluminum
1755,Kim Loại màu,4,Nonferrous Metals
1757,Thép và sản phẩm thép,4,Steel
1770,Khai khoáng,3,Mining
1771,Khai thác Than,4,Coal
1775,Khai khoáng,4,General Mining
1777,Khai thác vàng,4,Gold Mining
2000,Công nghiệp,1,Industrials
2300,Xây dựng và Vật liệu,2,Construction & Materials
2350,Xây dựng và Vật liệu,3,Construction & Materials
2353,Vật liệu xây dựng & Nội thất,4,Building Materials & Fixtures
2357,Xây dựng,4,Heavy Construction
2700,Hàng & Dịch vụ Công nghiệp,2,Industrial Goods & Services
2720,Hàng công nghiệp,3,General Industrials
2723,Containers & Đóng gói,4,Containers & Packaging
2727,Công nghiệp phức hợp,4,Diversified Industrials
2730,Điện tử & Thiết bị điện,3,Electronic & Electrical Equipment
2733,Hàng điện & điện tử,4,Electrical Components & Equipment
2737,Thiết bị điện,4,Electronic Equipment
2750,Công nghiệp nặng,3,Industrial Engineering
2753,Xe tải & Đóng tàu,4,Commercial Vehicles & Trucks
2757,Máy công nghiệp,4,Industrial Machinery
2770,Vận tải,3,Industrial Transportation
2771,Chuyển phát nhanh,4,Delivery Services
2773,Vận tải Thủy,4,Marine Transportation
2775,Đường sắt,4,Railroads
